1	0	2.83204E-07	0
2	-2.22631E-08	2.77015E-07	4.43402E-08	
3	-4.3578E-08	2.58718E-07	8.57031E-08
4	-6.28995E-08	2.29164E-07	1.21105E-07
5	-7.89712E-08	1.89919E-07	1.4759E-07	
6	-9.01813E-08	1.43496E-07	1.62397E-07	
7	-9.44002E-08	9.36845E-08	1.6342E-07	
8	-8.89257E-08	4.57446E-08	1.50313E-07	
9	-7.10255E-08	5.59195E-09	1.26494E-07	
10	-3.99783E-08	-2.37543E-08	1.00516E-07	
11	3.0357E-23	-4.72006E-08	8.17539E-08	
12	3.99783E-08	-7.5172E-08	7.08297E-08	
13	7.10255E-08	-1.12343E-07	5.84042E-08	
14	8.89257E-08	-1.53047E-07	3.55405E-08	
15	9.44002E-08	-1.88368E-07	5.76738E-10	
16	9.01813E-08	-2.12388E-07	-4.30723E-08	
17	7.89712E-08	-2.22776E-07	-9.06792E-08	
18	6.28995E-08	-2.19462E-07	-1.3791E-07	
19	4.3578E-08	-2.0358E-07	-1.81205E-07	
20	2.22631E-08	-1.76907E-07	-2.17732E-07	
21	-6.0714E-23	-1.41602E-07	-2.45262E-07	
22	-2.22631E-08	-1.00108E-07	-2.62072E-07	
23	-4.3578E-08	-5.51378E-08	-2.66908E-07	
24	-6.28995E-08	-9.70246E-09	-2.59014E-07	
25	-7.89712E-08	3.28575E-08	-2.38269E-07	
26	-9.01813E-08	6.88924E-08	-2.0547E-07	
27	-9.44002E-08	9.46835E-08	-1.62843E-07	
28	-8.89257E-08	1.07303E-07	-1.14772E-07	
29	-7.10255E-08	1.06751E-07	-6.80897E-08	
30	-3.99783E-08	9.89263E-08	-2.9686E-08	
31	-2.02387E-22	9.44012E-08	-1.06976E-22	
32	3.99783E-08	9.89263E-08	2.9686E-08	
33	7.10255E-08	1.06751E-07	6.80897E-08	
34	8.89257E-08	1.07303E-07	1.14772E-07	
35	9.44002E-08	9.46835E-08	1.62843E-07	
36	9.01813E-08	6.88924E-08	2.0547E-07	
37	7.89712E-08	3.28575E-08	2.38269E-07	
38	6.28995E-08	-9.70246E-09	2.59014E-07	
39	4.3578E-08	-5.51378E-08	2.66908E-07	
40	2.22631E-08	-1.00108E-07	2.62072E-07	
41	-1.21428E-22	-1.41602E-07	2.45262E-07	
42	-2.22631E-08	-1.76907E-07	2.17732E-07	
43	-4.3578E-08	-2.0358E-07	1.81205E-07	
44	-6.28995E-08	-2.19462E-07	1.3791E-07	
45	-7.89712E-08	-2.22776E-07	9.06792E-08	
46	-9.01813E-08	-2.12388E-07	4.30723E-08	
47	-9.44002E-08	-1.88368E-07	-5.76738E-10	
48	-8.89257E-08	-1.53047E-07	-3.55405E-08	
49	-7.10255E-08	-1.12343E-07	-5.84042E-08	
50	-3.99783E-08	-7.5172E-08	-7.08297E-08	
51	-5.78278E-23	-4.72006E-08	-8.17539E-08	
52	3.99783E-08	-2.37543E-08	-1.00516E-07	
53	7.10255E-08	5.59195E-09	-1.26494E-07	
54	8.89257E-08	4.57446E-08	-1.50313E-07	
55	9.44002E-08	9.36845E-08	-1.6342E-07	
56	9.01813E-08	1.43496E-07	-1.62397E-07	
57	7.89712E-08	1.89919E-07	-1.4759E-07	
58	6.28995E-08	2.29164E-07	-1.21105E-07	
59	4.3578E-08	2.58718E-07	-8.57031E-08	
60	2.22631E-08	2.77015E-07	-4.43402E-08	

